s_no,country_name,start_cases_count,start_date_500,peak_date,peak_cases_count,end_date_500,end_cases_count,total_density_per_sq_km ,positive_cases_count_per_milion,total_tests_done_per_million,region, passengers_carried_2018
1,New York,620,17/03/2020,15/04/2020,11661,15/06/2020,661,1067,19260,48043,american,"30489000"
2,Italy ,573,01/03/2020,21/03/2020,6557,15/06/2020,338,206,3822,59654,european,27630436
3,spain,557,09/03/2020,26/03/2020,8271,15/06/2020,338,94,6071,76071,european,80672105
4,UK,676,18/03/2020,10/04/2020,8681,15/06/2020,650,281,3939,55981,european,165388610
5,New jersey ,437,21/03/2020,03/04/2020,4305,15/06/2020,500,3141.656,17768,74343,american,"46000000"
6,south korea,505,27/02/2020,03/03/2020,851,03/05/2020,100,503,221,16945,asian,"26800000"
7,france,497,11/03/2020,31/05/2020,7578,15/06/2020,450,117.39,2803,21217,european,70188028
8,belgium,462,20/03/2020,15/04/2020,2454,10/05/2020,485,376,4993,70678,european,13639487
9,japan,515,05/04/2020,11/04/2020,743,25/04/2020,519,336,132,2203,asian,126387527
10,switzerland,236,13/03/2020,20/03/2020,1393,15/04/2020,396,219,3561,44610,european,28857994
11,Israel ,488,24/03/2020,02/04/2020,765,23/04/2020,556,395,1828,60724,asian,7404373
12,germany,401,11/03/2020,27/03/2020,6933,05/06/2020,607,240,2172,47194,european,1097962023
13,Turkey,561,25/03/2020,11/04/2020,5138,15/06/2020,550,110,1897,22488,european,115595496
14,canada,621,23/03/2020,03/05/2020,2760,15/06/2020,400,4,2321,40597,american,89380000
15,china,457,24/01/2020,12/02/2020,14108,05/03/2020,573,148,58,100000,asian,611439830
16,netherlands,409,19/03/2020,10/04/2020,1335,07/05/2020,455,412,345,20003,european,43996045
17,Ecuador,456,01/04/2020,24/04/2020,7595,15/06/2020,500,70,2163,6218,european,5365261
18,sweden,500,02/04/2020,10/06/2020,1487,15/06/2020,550,25,3540,23659,european,"42000000"
19,singapore,447,15/04/2020,20/04/2020,1426,15/06/2020,405,8109,5687,57251,asian,40401515
20,portugal,460,23/03/2020,10/04/2020,1516,09/06/2020,553,111,3098,74916,european,17367956
21,Ireland,450,08/04/2020,10/04/2020,1515,14/05/2020,426,72,528,66051,european,167598633
22,kuwait,526,05/05/2020,29/05/2020,1023,15/06/2020,500,200,5654,66209,asian,6464847
23,Poland,324,05/04/2020,12/05/2020,595,15/06/2020,399,124,597,22371,european,9277538
24,philippines,500,31/03/2020,29/05/2020,1100,15/06/2020,500,357,241,4637,asian,43080118
25,afghanistan,500,18/05/2020,05/06/2020,950,16/06/2020,500,57,657,1480,asian,1722613
26,Romania,312,29/03/2020,11/04/2020,523,07/05/2020,400,82,976,21300,european,4908235
27,austria,533,19/03/2020,26/03/2020,1321,07/04/2020,395,104,1847,47477,european,12935505
28,dominician republic,500,17/04/2020,11/06/2020,650,15/06/2020,500,220,2100,9800,american,"14505857"
29,ohio,427,03/04/2020,19/04/2020,1380,15/06/2020,422,109,3524,46729,american,"8141656"
30,illinois,500,25/03/2020,12/05/2020,4000,15/06/2020,500,90,10460,94055,american,"83245472"
31,Massachusetts,500,24/03/2020,24/04/2020,5000,11/06/2020,500,2283,15321,765965,american,"40941925"
32,pennsylvania,500,26/03/2020,24/04/2020,3100,13/06/2020,500,110,6507,46459,american,"31691956"
33,Louisiana,500,26/03/2020,02/04/2020,2726,15/06/2020,500,35,10028,109562,american," 804622"
